                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.39105,                 0.2203,                0.86586,                0.99962,                      1,                  0.995,                0.90117,                0.49755,                0.20397,                0.89447,              0.0002972,              0.0002972,              0.0002972
                     89,                0.39091,                 0.2182,                0.86089,                      1,                0.99812,                  0.995,                0.90992,                0.49299,                0.20022,                0.89223,              0.0002774,              0.0002774,              0.0002774
                     90,                 0.3923,                 0.2129,                0.86431,                 0.9996,                      1,                  0.995,                0.90571,                0.48972,                0.20212,                 0.8909,              0.0002576,              0.0002576,              0.0002576
                     91,                0.34781,                0.17843,                0.84203,                0.99962,                      1,                  0.995,                0.90266,                0.49139,                0.20121,                0.89333,              0.0002378,              0.0002378,              0.0002378
                     92,                0.34263,                0.17508,                0.83475,                0.99959,                      1,                  0.995,                0.90551,                0.49312,                0.19932,                0.90139,               0.000218,               0.000218,               0.000218
                     93,                0.32937,                0.17311,                0.83013,                0.99923,                      1,                  0.995,                 0.9051,                0.49495,                0.20493,                0.89689,              0.0001982,              0.0001982,              0.0001982
                     94,                0.32912,                0.17049,                0.83062,                0.99934,                      1,                  0.995,                0.90966,                0.49626,                0.19691,                0.89549,              0.0001784,              0.0001784,              0.0001784
                     95,                0.32719,                0.17018,                0.82702,                0.99947,                      1,                  0.995,                0.90248,                0.49864,                0.20132,                0.90016,              0.0001586,              0.0001586,              0.0001586
                     96,                0.31655,                0.16754,                0.82357,                0.99955,                      1,                  0.995,                0.91189,                0.48803,                0.19688,                0.89818,              0.0001388,              0.0001388,              0.0001388
                     97,                0.31535,                0.16637,                0.82635,                0.99949,                      1,                  0.995,                0.90646,                0.49316,                0.19875,                0.89855,               0.000119,               0.000119,               0.000119
                     98,                0.31058,                0.16453,                 0.8232,                0.99959,                      1,                  0.995,                0.90238,                0.49354,                0.19927,                0.89914,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.30623,                0.16088,                0.82044,                0.99962,                      1,                  0.995,                0.90472,                0.49918,                0.20004,                0.90237,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.30451,                0.16007,                0.81607,                0.99961,                      1,                  0.995,                0.90729,                 0.4908,                0.19446,                 0.8987,               5.96e-05,               5.96e-05,               5.96e-05
